Model Name,Image,Prediction,Confidence,Latency
resnet50_onnx,street.jpg,minibus,0.9548,0.1675
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.1330
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0715
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0758
resnet50_onnx,zidane.jpg,suit,0.8285,0.0791
resnet50_onnx,bus.jpg,minibus,0.9594,0.0582
resnet50_notonnx,street.jpg,minibus,0.9548,0.2124
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1148
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.1420
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.1362
resnet50_notonnx,zidane.jpg,suit,0.8285,0.1140
resnet50_notonnx,bus.jpg,minibus,0.9594,0.1345
yolo_onnx,street.jpg,bus,0.9115,0.1247
yolo_onnx,Epic.jpg,person,0.6270,0.1036
yolo_onnx,cat.jpg,cat,0.8799,0.2993
yolo_onnx,pizza.jpg,pizza,0.9178,0.0811
yolo_onnx,zidane.jpg,person,0.8248,0.0870
yolo_onnx,bus.jpg,bus,0.9070,0.1157
yolo_notonnx,street.jpg,bus,0.9115,0.3245
yolo_notonnx,Epic.jpg,person,0.6270,0.2837
yolo_notonnx,cat.jpg,cat,0.8799,0.2573
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2841
yolo_notonnx,zidane.jpg,person,0.8248,0.2816
yolo_notonnx,bus.jpg,bus,0.9070,0.2465
resnet50_onnx,street.jpg,minibus,0.9548,0.0906
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0664
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0591
resnet50_onnx,pizza.jpg,pizza,0.9972,0.1005
resnet50_onnx,zidane.jpg,suit,0.8285,0.0615
resnet50_onnx,bus.jpg,minibus,0.9594,0.0590
resnet50_notonnx,street.jpg,minibus,0.9548,0.1882
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1709
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.0828
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.1342
resnet50_notonnx,zidane.jpg,suit,0.8285,0.0907
resnet50_notonnx,bus.jpg,minibus,0.9594,0.0930
yolo_onnx,street.jpg,bus,0.9115,0.1252
yolo_onnx,Epic.jpg,person,0.6270,0.1119
yolo_onnx,cat.jpg,cat,0.8799,0.0855
yolo_onnx,pizza.jpg,pizza,0.9178,0.1040
yolo_onnx,zidane.jpg,person,0.8248,0.0706
yolo_onnx,bus.jpg,bus,0.9070,0.0788
yolo_notonnx,street.jpg,bus,0.9115,0.3414
yolo_notonnx,Epic.jpg,person,0.6270,0.2815
yolo_notonnx,cat.jpg,cat,0.8799,0.3979
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2492
yolo_notonnx,zidane.jpg,person,0.8248,0.3006
yolo_notonnx,bus.jpg,bus,0.9070,0.3618
resnet50_onnx,street.jpg,minibus,0.9548,0.0822
resnet50_onnx,Epic.jpg,toyshop,0.3405,0.0758
resnet50_onnx,cat.jpg,tiger cat,0.6837,0.0914
resnet50_onnx,pizza.jpg,pizza,0.9972,0.0564
resnet50_onnx,zidane.jpg,suit,0.8285,0.0567
resnet50_onnx,bus.jpg,minibus,0.9594,0.0565
resnet50_notonnx,street.jpg,minibus,0.9548,0.2014
resnet50_notonnx,Epic.jpg,toyshop,0.3405,0.1559
resnet50_notonnx,cat.jpg,tiger cat,0.6837,0.0878
resnet50_notonnx,pizza.jpg,pizza,0.9972,0.0888
resnet50_notonnx,zidane.jpg,suit,0.8285,0.0826
resnet50_notonnx,bus.jpg,minibus,0.9594,0.1163
yolo_onnx,street.jpg,bus,0.9115,0.0797
yolo_onnx,Epic.jpg,person,0.6270,0.0822
yolo_onnx,cat.jpg,cat,0.8799,0.0812
yolo_onnx,pizza.jpg,pizza,0.9178,0.0774
yolo_onnx,zidane.jpg,person,0.8248,0.0776
yolo_onnx,bus.jpg,bus,0.9070,0.0850
yolo_notonnx,street.jpg,bus,0.9115,0.3395
yolo_notonnx,Epic.jpg,person,0.6270,0.3600
yolo_notonnx,cat.jpg,cat,0.8799,0.2653
yolo_notonnx,pizza.jpg,pizza,0.9178,0.2776
yolo_notonnx,zidane.jpg,person,0.8248,0.3001
yolo_notonnx,bus.jpg,bus,0.9070,0.2524
resnet50_onnx,street.jpg,minibus,0.9548,0.0724
